"","compound_1","compound_2","true_match","cosine","comp2keep","comp1_feat","comp2_feat","comp_MSMS","comp_TIC","reason"
"1","amide_1006","C18_3841","Y",0.936342,"amide_1006",5,2,"both","amide_1006","amide_1006 higher signal"
"3","amide_1025","C18_8149","N",0.991594,"amide_1025",2,2,"N/A","amide_1025","amide_1025 filled"
"4","amide_105","C18_260","Y",0.857783,"C18_260",9,11,"both","C18_260","C18_260 more features"
"5","amide_1058","C18_8539","Y",0.984048,"amide_1058",2,2,"amide_1058","C18_8539","amide_1058 has MSMS"
"6","amide_1062","C18_4413","Y",0.911546,"amide_1062",3,4,"amide_1062","amide_1062","amide_1062 has MSMS"
"7","amide_1066","C18_5728","Y",0.914011,"amide_1066",2,2,"amide_1066","C18_5728","amide_1066 has MSMS"
"8","amide_1071","C18_6891","Y",0.931268,"amide_1071",5,2,"both","amide_1071","amide_1071 higher signal"
"9","amide_1090","C18_5880","Y",0.940519,"amide_1090",2,2,"both","amide_1090","amide_1090 higher signal"
"10","amide_1156","C18_5049","Y",0.969123,"amide_1156",2,3,"amide_1156","C18_5049","amide_1156 has MSMS"
"11","amide_116","C18_2359","Y",0.85795,"amide_116",13,11,"both","amide_116","amide_116 more features"
"12","amide_118","C18_2549","Y",0.983523,"amide_118",31,8,"amide_118","amide_118","amide_118 has MSMS"
"13","amide_120","C18_6633","Y",0.972496,"amide_120",9,2,"both","amide_120","amide_120 more features"
"14","amide_1202","C18_954","Y",0.882403,"amide_1202",2,3,"amide_1202","C18_954","amide_1202 has MSMS"
"15","amide_1204","C18_3099","Y",0.923063,"amide_1204",2,6,"amide_1204","C18_3099","amide_1204 has MSMS"
"16","amide_1222","C18_3158","Y",0.967202,"amide_1222",2,4,"amide_1222","C18_3158","amide_1222 has MSMS"
"17","amide_1238","C18_3876","Y",0.981095,"amide_1238",2,6,"amide_1238","amide_1238","amide_1238 has MSMS"
"18","amide_124","C18_2765","Y",0.940626,"C18_2765",40,4,"C18_2765","amide_124","C18_2765 has MSMS"
"19","amide_126","C18_2263","Y",0.904707,"C18_2263",15,18,"both","amide_126","C18_2263 more features"
"20","amide_1271","C18_4179","Y",0.99554,"amide_1271",2,4,"amide_1271","amide_1271","amide_1271 has MSMS"
"21","amide_1276","C18_2555","Y",0.976836,"amide_1276",2,4,"amide_1276","amide_1276","amide_1276 has MSMS"
"22","amide_1277","C18_6303","Y",0.945889,"amide_1277",2,5,"amide_1277","amide_1277","amide_1277 has MSMS"
"23","amide_1294","C18_3771","Y",0.995982,"amide_1294",2,2,"both","amide_1294","amide_1294 more features"
